rank (for POS),lemma,POS,ipm,freq,% of concordance
56,әзерлә,v,"272,0258378",35704,"0,35704"
30,як,n,"271,7972702",35674,"0,35674"
31,укучы,n,"271,2182325",35598,"0,35598"
57,бас,v,"270,9668082",35565,"0,35565"
58,аша,v,"269,1230301",35323,"0,35323"
13,ягъни,cnjcoo,"266,9364",35036,"0,96142"
15,әлегә,adv,"261,00888",34258,"1,20328"
32,дөнья,n,"260,4069883",34179,"0,34179"
14,әгәр,cnjcoo,"258,41083",33917,"0,93071"
59,өйрән,v,"256,9708564",33728,"0,33728"
60,тәмамла,v,"256,1175376",33616,"0,33616"
33,йорт,n,"254,9518432",33463,"0,33463"
16,аеруча,adv,"254,43376",33395,"1,17297"
61,белдер,v,"253,7709109",33308,"0,33308"
4,булды,ij,"252,12522",33092,"7,93136"
17,әнә,adv,"246,13676",32306,"1,13472"
18,элек,adv,"244,1406",32044,"1,12552"
62,алып бар,v,"242,1444425",31782,"0,31782"
19,күптән,adv,"241,70255",31724,"1,11428"
63,аңла,v,"240,2397131",31532,"0,31532"
64,тырыш,v,"238,1445107",31257,"0,31257"
34,күңел,n,"236,7121542",31069,"0,31069"
35,күз,n,"236,6664407",31063,"0,31063"
20,бигрәк,adv,"236,07217",30985,"1,08832"
36,туган,n,"235,1121815",30859,"0,30859"
37,кул,n,"233,215071",30610,"0,3061"
38,хәл,n,"232,3693711",30499,"0,30499"
65,тапшыр,v,"231,637955",30403,"0,30403"
66,тикшер,v,"230,2284552",30218,"0,30218"
67,кабул ит,v,"229,504658",30123,"0,30123"
68,төз,v,"228,9713338",30053,"0,30053"
69,туры кил,v,"228,7884798",30029,"0,30029"
21,аннары,adv,"225,64949",29617,"1,04027"
22,гомумән,adv,"224,65903",29487,"1,0357"
70,үс,v,"223,8438022",29380,"0,2938"
15,вә,cnjcoo,"222,73906",29235,"0,80223"
71,түлә,v,"217,192487",28507,"0,28507"
72,сора,v,"216,8343979",28460,"0,2846"
73,сана,v,"214,8077658",28194,"0,28194"
16,бәлки,cnjcoo,"214,1754",28111,"0,77139"
39,шигырь,n,"212,3544743",27872,"0,27872"
5,димәк,ij,"209,42881",27488,"6,58821"
74,ту,v,"209,3526207",27478,"0,27478"
75,калдыр,v,"207,935502",27292,"0,27292"
76,ят,v,"206,9298049",27160,"0,2716"
40,егет,n,"205,7488726",27005,"0,27005"
41,китап,n,"205,4136403",26961,"0,26961"
42,әсәр,n,"205,0250755",26910,"0,2691"
43,ул,n,"204,5298458",26845,"0,26845"
44,Россия,n,"203,8365243",26754,"0,26754"
17,әле,cnjcoo,"203,72986",26740,"0,73377"
45,гаилә,n,"203,2346298",26675,"0,26675"
46,исем,n,"200,994668",26381,"0,26381"
47,акча,n,"200,4232492",26306,"0,26306"
77,бет,v,"200,06516",26259,"0,26259"
78,арт,v,"197,2156848",25885,"0,25885"
79,багышла,v,"196,7585497",25825,"0,25825"
48,дәүләт,n,"196,0728472",25735,"0,25735"
80,куш,v,"195,5928553",25672,"0,25672"
81,сат,v,"193,4443205",25390,"0,2539"
49,чара,n,"191,8519667",25181,"0,25181"
50,иҗат,n,"191,3186425",25111,"0,25111"
51,җитәкче,n,"190,9376966",25061,"0,25061"
52,белем,n,"190,3129454",24979,"0,24979"
18,бары тик,cnjcoo,"188,84249",24786,"0,68015"
82,уздыр,v,"188,4158349",24730,"0,2473"
23,бөтенләй,adv,"188,38536",24726,"0,86848"
53,укытучы,n,"187,7301323",24640,"0,2464"
83,дәвам ит,v,"186,7777676",24515,"0,24515"
84,тәкъдим ит,v,"185,8939731",24399,"0,24399"
54,шагыйрь,n,"185,2082705",24309,"0,24309"
85,ау,v,"184,5454247",24222,"0,24222"
24,бераз,adv,"183,44068",24077,"0,84568"
55,алд,n,"182,2064169",23915,"0,23915"
25,борын,adv,"182,08451",23899,"0,83943"
86,кыл,v,"181,4750008",23819,"0,23819"
56,ил,n,"177,8179203",23339,"0,23339"
87,ярдәм ит,v,"177,2465015",23264,"0,23264"
19,шулай да,cnjcoo,"176,99508",23231,"0,63748"
88,җырла,v,"175,1208235",22985,"0,22985"
89,укыт,v,"174,8389235",22948,"0,22948"
90,уйна,v,"173,5360886",22777,"0,22777"
14,һәркем,prn,"173,04848",22713,"0,52535"
91,иреш,v,"172,850386",22687,"0,22687"
92,ата,v,"172,6141995",22656,"0,22656"
57,ян,n,"172,5227725",22644,"0,22644"
26,бергә,adv,"172,23325",22606,"0,79402"
