lemma_POS,ipm_corpus1,ipm_corpus2,ipm_corpus3,dominant_corpus,LLR_corpus1_vs_corpus2,LLR_corpus1_vs_corpus3,LLR_corpus2_vs_corpus3
һәм_cnjcoo,14043.11207,12175.91429,15745.52579,corpus3,8070.622275128424,237.11649752390713,6081.740279103076
ул_prn,18286.41379,13390.39263,9496.788268,corpus1,6919.539329811423,2294.039565219123,13698.446218421834
бу_n,0.0,1172.140013,5.777077526,corpus2,3611.0715804457855,8.385091630711543,3423.7740198573674
белән_post,7429.215517,0.0,0.0,corpus1,3583.5714930854992,9830.354845044565,0.0
бу_det,4906.405172,0.0,7925.180786,corpus3,2366.6635686733243,923.6515680563407,4046.1577450510636
шул_prn,5210.353448,4043.39772,4292.610997,corpus1,2289.108340909377,39.68904750385275,2694.9903600444136
өчен_post,4401.87931,0.0,5612.531814,corpus3,2123.2994486729826,234.6337651287795,2865.447449309654
чөнки_cnjcoo,0.0,624.06555,0.0,corpus2,1922.590600906539,0.0,1860.1484771157675
үз_prn,4416.775862,3320.08053,2974.669737,corpus1,1789.2469940433339,198.30295081480722,2707.4320828004525
без_n,5.439655172,560.7751999,3578.75813,corpus3,1668.8685853859918,5120.0727767727485,214.71535083944457
без_prn,4166.491379,69.995,0.0,corpus1,1512.1791250249921,5513.110855468679,208.6336806377441
Казан_n,0.0,474.0414407,0.0,corpus2,1460.4036680602135,0.0,1412.9725058655606
Татарстан_n,0.0,472.8300328,0.0,corpus2,1456.6716218955053,0.0,1409.361669535385
буенча_post,2945.103448,0.0,4212.2571,corpus3,1420.6060836827667,314.1312512882005,2150.5448455408045
ә_cnjcoo,2844.948276,2238.05708,2532.258716,corpus1,1293.2836888351892,3.6698106624155287,1368.8883408071138
мин_prn,4025.008621,2766.89377,1271.280249,corpus1,1284.4476754092047,1333.3388223358622,3865.5544116639135
ал_vaux,2646.551724,0.0,4509.473599,corpus3,1276.5960674314188,617.4088765209833,2302.2871050372946
